"class","class_full","comment","added_attributes","added_attributes_full","commentdelatt","deleted_attributes","deleted_attributes_full","commentdelatt","reference_version","target_version"
"epo:SecurityClearanceTerm","http://data.europa.eu/a4g/ontology#SecurityClearanceTerm","","epo:isSecurityClearanceRequired","http://data.europa.eu/a4g/ontology#isSecurityClearanceRequired","","","","","3.1.0","4.0.0-rc.1"
"epo:SecurityClearanceTerm","http://data.europa.eu/a4g/ontology#SecurityClearanceTerm","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"epo:SelectionCriteriaSummary","http://data.europa.eu/a4g/ontology#SelectionCriteriaSummary","","epo:hasSelectionCriteriaStatedInProcurementDocuments","http://data.europa.eu/a4g/ontology#hasSelectionCriteriaStatedInProcurementDocuments","","","","","3.1.0","4.0.0-rc.1"
"epo:SelectionCriteriaSummary","http://data.europa.eu/a4g/ontology#SelectionCriteriaSummary","","epo:describesMinimumLevelOfStandards","http://data.europa.eu/a4g/ontology#describesMinimumLevelOfStandards","","","","","3.1.0","4.0.0-rc.1"
"epo:SubcontractTerm","http://data.europa.eu/a4g/ontology#SubcontractTerm","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"epo:SubcontractingEstimate","http://data.europa.eu/a4g/ontology#SubcontractingEstimate","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"epo:SubmissionStatisticalInformation","http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation","","epo:hasOtherCountriesReceivedTenders","http://data.europa.eu/a4g/ontology#hasOtherCountriesReceivedTenders","","","","","3.1.0","4.0.0-rc.1"
"epo:SubmissionStatisticalInformation","http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation","","epo:hasNonEEAReceivedTenders","http://data.europa.eu/a4g/ontology#hasNonEEAReceivedTenders","","epo:hasReceivedNonEEATenders","http://data.europa.eu/a4g/ontology#hasReceivedNonEEATenders","","3.1.0","4.0.0-rc.1"
"epo:SubmissionStatisticalInformation","http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation","","epo:hasNonEUReceivedTenders","http://data.europa.eu/a4g/ontology#hasNonEUReceivedTenders","","epo:hasReceivedNonEUTenders","http://data.europa.eu/a4g/ontology#hasReceivedNonEUTenders","","3.1.0","4.0.0-rc.1"
"epo:SubmissionStatisticalInformation","http://data.europa.eu/a4g/ontology#SubmissionStatisticalInformation","","epo:hasSMEReceivedTenders","http://data.europa.eu/a4g/ontology#hasSMEReceivedTenders","","epo:hasReceivedSMETenders","http://data.europa.eu/a4g/ontology#hasReceivedSMETenders","","3.1.0","4.0.0-rc.1"
"epo:SubmissionTerm","http://data.europa.eu/a4g/ontology#SubmissionTerm","","epo:hasReceiptTenderDeadline","http://data.europa.eu/a4g/ontology#hasReceiptTenderDeadline","","","","","3.1.0","4.0.0-rc.1"
"epo:SubmissionTerm","http://data.europa.eu/a4g/ontology#SubmissionTerm","","epo:hasReceiptPreliminaryMarketConsultationDeadline","http://data.europa.eu/a4g/ontology#hasReceiptPreliminaryMarketConsultationDeadline","","","","","3.1.0","4.0.0-rc.1"
"epo:SubmissionTerm","http://data.europa.eu/a4g/ontology#SubmissionTerm","","epo:hasReceiptParticipationRequestDeadline","http://data.europa.eu/a4g/ontology#hasReceiptParticipationRequestDeadline","","","","","3.1.0","4.0.0-rc.1"
"epo:System","http://data.europa.eu/a4g/ontology#System","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"epo:Technique","http://data.europa.eu/a4g/ontology#Technique","renamed from epo:TechniqueUsage","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"epo:VehicleInformation","http://data.europa.eu/a4g/ontology#VehicleInformation","","epo:hasTotalVehicles","http://data.europa.eu/a4g/ontology#hasTotalVehicles","","","","","3.1.0","4.0.0-rc.1"
"epo:VehicleInformation","http://data.europa.eu/a4g/ontology#VehicleInformation","","epo:hasZeroEmissionVehicles","http://data.europa.eu/a4g/ontology#hasZeroEmissionVehicles","","","","","3.1.0","4.0.0-rc.1"
"epo:VehicleInformation","http://data.europa.eu/a4g/ontology#VehicleInformation","","epo:hasCleanVehicles","http://data.europa.eu/a4g/ontology#hasCleanVehicles","","","","","3.1.0","4.0.0-rc.1"
"foaf:Agent","http://xmlns.com/foaf/0.1/Agent","","dct:title","http://purl.org/dc/terms/title","","epo:hasTitle","http://data.europa.eu/a4g/ontology#hasTitle","","3.1.0","4.0.0-rc.1"
"org:Organization","http://www.w3.org/ns/org#Organization","","epo:hasInternetAddress","http://data.europa.eu/a4g/ontology#hasInternetAddress","","","","","3.1.0","4.0.0-rc.1"
"org:Organization","http://www.w3.org/ns/org#Organization","","epo:hasOrganisationUnitName","http://data.europa.eu/a4g/ontology#hasOrganisationUnitName","","epo:hasOrganisationUnit","http://data.europa.eu/a4g/ontology#hasOrganisationUnit","","3.1.0","4.0.0-rc.1"
"epo-cat:Batch","http://data.europa.eu/a4g/ontology#Batch","","epo-cat:hasManufactureDate","http://data.europa.eu/a4g/ontology#hasManufactureDate","","","","","3.1.0","4.0.0-rc.1"
"epo-cat:Brand","http://data.europa.eu/a4g/ontology#Brand","","dct:title","http://purl.org/dc/terms/title","","epo:hasName","http://data.europa.eu/a4g/ontology#hasName","","3.1.0","4.0.0-rc.1"
"epo-cat:ItemModel","http://data.europa.eu/a4g/ontology#ItemModel","","dct:title","http://purl.org/dc/terms/title","","epo:hasName","http://data.europa.eu/a4g/ontology#hasName","","3.1.0","4.0.0-rc.1"
"epo-cat:Item","http://data.europa.eu/a4g/ontology#Item","","dct:title","http://purl.org/dc/terms/title","","epo:hasName","http://data.europa.eu/a4g/ontology#hasName","","3.1.0","4.0.0-rc.1"
"epo-cat:Item","http://data.europa.eu/a4g/ontology#Item","","dct:description","http://purl.org/dc/terms/description","","epo:hasDescription","http://data.europa.eu/a4g/ontology#hasDescription","","3.1.0","4.0.0-rc.1"
"epo-cat:Item","http://data.europa.eu/a4g/ontology#Item","","","","","epo-cat:hasExternalSpecification","http://data.europa.eu/a4g/ontology#hasExternalSpecification","","3.1.0","4.0.0-rc.1"
"epo-cat:Item","http://data.europa.eu/a4g/ontology#Item","","","","","epo-cat:hasVATRate","http://data.europa.eu/a4g/ontology#hasVATRate","","3.1.0","4.0.0-rc.1"
"epo-cat:Line","http://data.europa.eu/a4g/ontology#Line","","dct:description","http://purl.org/dc/terms/description","","","","","3.1.0","4.0.0-rc.1"
"epo-ord:DeliveryAgreement","http://data.europa.eu/a4g/ontology#DeliveryAgreement","","dct:description","http://purl.org/dc/terms/description","","","","","3.1.0","4.0.0-rc.1"
