"subject","comment","predicate","object","reference_version","target_version"
"<http://data.europa.eu/a4g/ontology#Order>","","<http://data.europa.eu/a4g/ontology#supersedesOrder>","<http://data.europa.eu/a4g/ontology#Order>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Order>","","<http://data.europa.eu/a4g/ontology#isSubmittedToSeller>","<http://data.europa.eu/a4g/ontology#Selle>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Order>","","<http://data.europa.eu/a4g/ontology#specifiesDiscountInformation>","<http://data.europa.eu/a4g/ontology#DiscountInformatio>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#Order>","","<http://data.europa.eu/a4g/ontology#isSubmittedByBuyer>","<http://data.europa.eu/a4g/ontology#Buyer>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#AllowanceChargeInformation>","(renamed from epo-ord:PriceModifierInformation)","<http://data.europa.eu/a4g/ontology#hasFixedAmount>","<http://data.europa.eu/a4g/ontology#MonetaryValue>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#CompetitionNotice>","","<http://data.europa.eu/a4g/ontology#announcesLot>","<http://data.europa.eu/a4g/ontology#Lot>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#CompetitionNotice>","","<http://data.europa.eu/a4g/ontology#announcesLotGroup>","<http://data.europa.eu/a4g/ontology#LotGroup>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#CompetitionNotice>","","<http://data.europa.eu/a4g/ontology#announcesRole>","<http://data.europa.eu/a4g/ontology#AgentInRole>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#CompetitionNotice>","","<http://data.europa.eu/a4g/ontology#announcesProcedure>","<http://data.europa.eu/a4g/ontology#Procedure>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#ContractModificationNotice>","","<http://data.europa.eu/a4g/ontology#refersToContractToBeModified>","<http://data.europa.eu/a4g/ontology#Contract>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#DirectAwardPrenotificationNotice>","","<http://data.europa.eu/a4g/ontology#announcesProcedure>","<http://data.europa.eu/a4g/ontology#Procedure>","3.1.0","4.0.0-rc.1"
"<http://data.europa.eu/a4g/ontology#PlanningNotice>","","<http://data.europa.eu/a4g/ontology#announcesPlannedProcurementPart>","<http://data.europa.eu/a4g/ontology#PlannedProcurementPart>","3.1.0","4.0.0-rc.1"
